Product_ID;VendorID;Quantity;Price;Cost;Timestamp;DiscountID;MinOrderQty;MaxOrderQty;UnitType;LastUpdated
1;1580;17;47.87;50.2635;00:00:00;1;5;3;CS;00:00:00
2;1688;19;39.92;41.916;00:00:00;1;5;3;CTN;00:00:00
4;1650;17;54.31;57.0255;00:00:00;1;5;5;CTN;00:00:00
317;1578;19;28.17;29.5785;00:00:00;100;1000;300;EA;00:00:00
317;1678;17;25.77;27.0585;00:00:00;100;1000;400;EA;00:00:00
318;1578;19;34.38;36.099;00:00:00;100;1000;500;EA;00:00:00
318;1678;17;31.98;33.579;00:00:00;100;1000;300;EA;00:00:00
319;1556;19;44.21;46.4205;00:00:00;100;1000;300;EA;00:00:00
319;1578;19;46.27;48.5835;00:00:00;100;1000;400;EA;00:00:00
319;1678;17;43.87;46.0635;00:00:00;100;1000;400;EA;00:00:00
320;1514;19;47.28;49.644;00:00:00;1;5;3;CAN;00:00:00
320;1602;17;45.21;47.4705;00:00:00;1;5;5;CAN;00:00:00
320;1604;17;43.21;45.3705;00:00:00;1;5;5;CAN;00:00:00
321;1514;19;42.21;44.3205;00:00:00;1;5;5;CAN;00:00:00
321;1602;17;40.76;42.798;00:00:00;1;5;4;CAN;00:00:00
321;1604;17;38.56;40.488;00:00:00;1;5;4;CAN;00:00:00
322;1514;19;27.33;28.6965;00:00:00;20;100;4;DZ;00:00:00
322;1602;17;24.21;25.4205;00:00:00;20;100;4;DZ;00:00:00
322;1604;17;25.11;26.3655;00:00:00;20;100;4;DZ;00:00:00
323;1698;17;47.87;50.2635;00:00:00;1;5;4;CS;00:00:00
325;1590;19;0.2;0.21;00:00:00;500;2000;3;EA;00:00:00
326;1590;19;0.2;0.21;00:00:00;500;2000;3;EA;00:00:00
332;1608;19;10.3;10.815;00:00:00;100;1000;3;EA;00:00:00
341;1598;15;39.21;41.1705;00:00:00;1;5;4;CTN;00:00:00
341;1614;19;45.31;47.5755;00:00:00;1;5;5;CTN;00:00:00
341;1622;19;45.21;47.4705;00:00:00;1;5;5;CTN;00:00:00
342;1598;15;37.21;39.0705;00:00:00;1;5;5;CTN;00:00:00
342;1614;19;43.31;45.4755;00:00:00;1;5;3;CTN;00:00:00
342;1622;19;43.21;45.3705;00:00:00;1;5;3;CTN;00:00:00
343;1598;15;41.28;43.344;00:00:00;1;5;3;CTN;00:00:00
343;1614;19;47.38;49.749;00:00:00;1;5;5;CTN;00:00:00
343;1622;19;47.28;49.644;00:00:00;1;5;4;CTN;00:00:00
344;1598;15;37.21;39.0705;00:00:00;1;5;3;CTN;00:00:00
344;1614;19;43.31;45.4755;00:00:00;1;5;5;CTN;00:00:00
344;1622;19;43.21;45.3705;00:00:00;1;5;3;CTN;00:00:00
345;1598;15;35.21;36.9705;00:00:00;1;5;3;CTN;00:00:00
345;1614;19;41.31;43.3755;00:00:00;1;5;2;CTN;00:00:00
345;1622;19;41.21;43.2705;00:00:00;1;5;4;CTN;00:00:00
346;1598;15;39.28;41.244;00:00:00;1;5;4;CTN;00:00:00
346;1614;19;45.38;47.649;00:00:00;1;5;4;CTN;00:00:00
346;1622;19;45.28;47.544;00:00:00;1;5;4;CTN;00:00:00
347;1598;15;35.21;36.9705;00:00:00;1;5;4;CTN;00:00:00
347;1614;19;41.31;43.3755;00:00:00;1;5;5;CTN;00:00:00
347;1622;19;41.21;43.2705;00:00:00;1;5;5;CTN;00:00:00
348;1598;15;33.21;34.8705;00:00:00;1;5;3;CTN;00:00:00
348;1614;19;39.31;41.2755;00:00:00;1;5;3;CTN;00:00:00
348;1622;19;39.21;41.1705;00:00:00;1;5;4;CTN;00:00:00
349;1598;15;37.28;39.144;00:00:00;1;5;3;CTN;00:00:00
349;1614;19;43.38;45.549;00:00:00;1;5;5;CTN;00:00:00
349;1622;19;43.28;45.444;00:00:00;1;5;5;CTN;00:00:00
351;1544;15;5.5;5.775;00:00:00;100;1000;5;EA;00:00:00
351;1694;15;5.9;6.195;00:00:00;100;1000;300;EA;00:00:00
352;1544;15;1.1;1.155;00:00:00;100;1000;300;EA;00:00:00
352;1694;15;1.4;1.47;00:00:00;100;1000;400;EA;00:00:00
355;1508;15;1.3;1.365;00:00:00;100;1000;300;EA;00:00:00
356;1516;18;3.43;3.6015;00:00:00;20;100;500;PAK;00:00:00
356;1572;16;3.22;3.381;00:00:00;20;100;60;PAK;00:00:00
357;1516;18;3.79;3.9795;00:00:00;20;100;50;PAK;00:00:00
357;1572;16;4.11;4.3155;00:00:00;20;100;60;PAK;00:00:00
358;1500;16;6.65;6.9825;00:00:00;20;100;60;PAK;00:00:00
359;1496;17;45.41;47.6805;00:00:00;1;5;3;CS;00:00:00
359;1554;19;45.26;47.523;00:00:00;1;5;70;CS;00:00:00
360;1496;17;43.41;45.5805;00:00:00;1;5;3;CS;00:00:00
360;1554;19;43.26;45.423;00:00:00;1;5;80;CS;00:00:00
361;1496;17;47.48;49.854;00:00:00;1;5;80;CS;00:00:00
361;1554;19;47.33;49.6965;00:00:00;1;5;80;CS;00:00:00
362;1496;17;43.41;45.5805;00:00:00;1;5;3;CS;00:00:00
362;1554;19;43.26;45.423;00:00:00;1;5;40;CS;00:00:00
363;1496;17;41.41;43.4805;00:00:00;1;5;50;CS;00:00:00
363;1554;19;41.26;43.323;00:00:00;1;5;60;CS;00:00:00
364;1496;17;45.48;47.754;00:00:00;1;5;3;CS;00:00:00
364;1554;19;45.33;47.5965;00:00:00;1;5;500;CS;00:00:00
365;1496;17;41.41;43.4805;00:00:00;1;5;40;CS;00:00:00
365;1554;19;41.26;43.323;00:00:00;1;5;3;CS;00:00:00
366;1496;17;39.41;41.3805;00:00:00;1;5;3;CS;00:00:00
366;1554;19;39.26;41.223;00:00:00;1;5;5;CS;00:00:00
367;1496;17;43.48;45.654;00:00:00;1;5;40;CS;00:00:00
367;1554;19;43.33;45.4965;00:00:00;1;5;60;CS;00:00:00
368;1496;17;39.41;41.3805;00:00:00;1;5;3;CS;00:00:00
368;1554;19;39.26;41.223;00:00:00;1;5;50;CS;00:00:00
369;1496;17;37.41;39.2805;00:00:00;1;5;3;CS;00:00:00
369;1554;19;37.26;39.123;00:00:00;1;5;40;CS;00:00:00
370;1496;17;41.48;43.554;00:00:00;1;5;3;CS;00:00:00
370;1554;19;41.33;43.3965;00:00:00;1;5;5;CS;00:00:00
371;1496;17;37.41;39.2805;00:00:00;1;5;4;CS;00:00:00
371;1554;19;37.26;39.123;00:00:00;1;5;4;CS;00:00:00
372;1496;17;35.41;37.1805;00:00:00;1;5;3;CS;00:00:00
372;1554;19;35.26;37.023;00:00:00;1;5;8;CS;00:00:00
373;1496;17;39.48;41.454;00:00:00;1;5;3;CS;00:00:00
373;1554;19;39.33;41.2965;00:00:00;1;5;8;CS;00:00:00
374;1496;17;35.41;37.1805;00:00:00;1;5;3;CS;00:00:00
374;1554;19;35.26;37.023;00:00:00;1;5;9;CS;00:00:00
375;1536;15;41.28;43.344;00:00:00;1;5;3;CTN;00:00:00
375;1562;16;41.21;43.2705;00:00:00;1;5;300;CTN;00:00:00
375;1656;16;41.21;43.2705;00:00:00;1;5;300;CTN;00:00:00
376;1536;15;37.21;39.0705;00:00:00;1;5;300;CTN;00:00:00
376;1562;16;39.21;41.1705;00:00:00;1;5;300;CTN;00:00:00
376;1656;16;45.28;47.544;00:00:00;1;5;300;CTN;00:00:00
